City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
241,Santa Cruz,BO,-17.8,-63.1667,85.46,45,75,6.91,broken clouds
242,Salvador,SV,13.8333,-88.9167,85.05,61,100,1.28,overcast clouds
243,Shache,CN,38.4167,77.2406,78.57,27,28,7.87,scattered clouds
244,Nicolas Bravo,MX,18.45,-88.9167,81.48,38,12,8.03,few clouds
245,Van Wert,US,40.8695,-84.5841,82.6,69,1,3.0,clear sky
246,Aksarka,RU,66.5606,67.7975,50.76,82,100,7.18,overcast clouds
247,Asfi,MA,32.2994,-9.2372,69.3,75,0,16.02,clear sky
248,Taybad,IR,34.74,60.7756,83.71,12,0,22.66,clear sky
249,Ancud,CL,-41.8697,-73.8203,53.42,65,4,4.97,clear sky
250,Jagtial,IN,18.8,78.9333,78.82,84,100,2.98,overcast clouds
251,Aripuana,BR,-9.1667,-60.6333,100.63,20,31,2.28,scattered clouds
252,Uyuni,BO,-20.4597,-66.825,53.89,13,5,15.95,clear sky
253,Rorvik,NO,64.8621,11.2373,69.78,82,0,9.22,clear sky
254,Veinticinco De Mayo,AR,-35.4323,-60.1727,53.06,56,44,12.84,scattered clouds
255,Olinda,BR,-8.0089,-34.8553,73.13,94,90,9.22,mist
256,Cururupu,BR,-1.8283,-44.8683,86.52,55,2,5.86,clear sky
257,Luderitz,NA,-26.6481,15.1594,61.32,52,0,23.98,clear sky
258,Cabinda,AO,-5.55,12.2,74.01,81,1,7.27,clear sky
259,Malinovoye Ozero,RU,51.6753,79.7825,61.39,87,74,3.33,light rain
260,Adiake,CI,5.2863,-3.304,78.39,82,5,8.05,clear sky
261,Babugarh,IN,28.7167,77.85,79.72,82,16,3.24,few clouds
262,Kutum,SD,14.2,24.6667,69.37,79,92,17.36,overcast clouds
263,Les Cayes,HT,18.2,-73.75,87.12,61,2,11.39,clear sky
264,Kirishi,RU,59.4471,32.0205,61.45,89,99,4.45,light rain
265,San Juan,AR,-31.5375,-68.5364,49.14,52,26,1.5,scattered clouds
266,Antofagasta,CL,-23.65,-70.4,67.21,60,44,12.48,scattered clouds
267,Saint Anthony,US,45.0205,-93.218,87.26,61,20,1.01,few clouds
268,Jutai,BR,-5.1833,-68.9,99.16,28,53,3.0,broken clouds
269,Birin,NP,26.8865,88.0718,65.28,93,94,2.39,overcast clouds
270,Puri,IN,19.8,85.85,82.92,82,100,17.4,overcast clouds
271,Grindavik,IS,63.8424,-22.4338,64.56,82,0,17.27,clear sky
272,Manicore,BR,-5.8092,-61.3003,93.15,49,0,5.75,clear sky
273,Cobh,IE,51.8572,-8.2992,61.84,82,75,11.5,broken clouds
274,Libreville,GA,0.3925,9.4537,78.82,83,20,10.36,few clouds
275,Utrecht,NL,52.0,5.25,64.99,88,100,1.01,overcast clouds
276,Carahue,CL,-38.7,-73.1667,57.4,57,0,5.08,clear sky
277,Rudbar,AF,30.15,62.6,94.55,10,0,14.61,clear sky
278,Almeirim,BR,-1.5233,-52.5817,88.77,51,94,2.13,overcast clouds
279,Arkhangelsk,RU,64.5401,40.5433,59.11,94,90,4.47,overcast clouds
280,Jarocin,PL,51.9727,17.5026,64.08,53,98,5.39,overcast clouds
281,Kousseri,CM,12.0769,15.0306,80.56,78,20,2.3,few clouds
282,Togur,RU,58.3631,82.8265,59.68,84,12,4.79,few clouds
283,Putina,PE,-15.4667,-69.4333,52.18,51,23,11.72,few clouds
284,Coari,BR,-4.085,-63.1414,89.98,46,94,3.67,overcast clouds
285,Goderich,CA,43.7501,-81.7165,88.03,61,98,12.66,overcast clouds
286,Lethem,GY,3.3803,-59.7968,84.96,68,99,2.64,overcast clouds
287,Kabo,CF,7.6994,18.629,71.92,95,99,3.38,light rain
288,Saint-Martin-Boulogne,FR,50.7269,1.6186,63.72,84,99,11.56,overcast clouds
289,Gourcy,BF,13.2167,-2.35,86.32,52,41,7.02,scattered clouds
290,Arona,ES,28.0996,-16.681,71.02,62,75,4.0,broken clouds
291,Seydi,TM,39.4816,62.9137,82.11,19,0,11.95,clear sky
292,Pitimbu,BR,-7.4706,-34.8086,79.39,82,26,12.55,scattered clouds
293,Itaituba,BR,-4.2761,-55.9836,96.96,49,40,5.75,scattered clouds
294,Belmonte,BR,-15.8631,-38.8828,73.9,69,1,7.7,clear sky
295,Vardo,NO,70.3705,31.1107,64.15,82,0,8.05,clear sky
296,Harper,LR,4.375,-7.7169,76.95,81,62,10.38,broken clouds
297,Amapa,BR,1.0,-52.0,81.45,69,77,0.27,broken clouds
298,Nainpur,IN,22.4333,80.1167,75.97,95,100,3.44,overcast clouds
299,Talas,TR,38.6908,35.5538,63.27,88,75,1.14,broken clouds
300,Kalmunai,LK,7.4167,81.8167,78.35,80,88,8.66,overcast clouds
301,Floriano,BR,-6.7669,-43.0225,96.76,22,0,8.59,clear sky
302,Viseu,PT,40.661,-7.9097,73.85,51,68,6.2,broken clouds
303,San Francisco,US,37.7749,-122.4194,89.89,77,20,7.0,few clouds
304,Vozhega,RU,60.4725,40.2213,62.89,83,100,1.97,overcast clouds
305,Guarapari,BR,-20.6667,-40.4975,75.09,71,48,11.14,scattered clouds
306,Bubaque,GW,11.2833,-15.8333,79.54,82,100,14.65,overcast clouds
307,Nioro,GM,13.35,-15.75,83.89,73,100,3.53,overcast clouds
308,Dossor,KZ,47.5272,52.9811,86.72,18,7,11.16,clear sky
309,Novomoskovsk,RU,54.0105,38.2846,70.29,52,3,6.85,clear sky
310,Riyadh,SA,24.6877,46.7219,98.74,10,0,9.19,clear sky
311,Chitral,PK,35.8462,71.7858,76.87,51,46,1.7,scattered clouds
312,Maykor,RU,59.0059,55.88,53.08,97,100,3.44,overcast clouds
313,Skelleftea,SE,64.7507,20.9528,61.16,69,90,1.99,overcast clouds
314,Bogande,BF,12.9714,-0.1436,82.76,63,65,8.3,broken clouds
315,Kariba,ZW,-16.5167,28.8,67.05,40,0,1.99,clear sky
316,Marquette,US,46.5333,-87.6335,78.37,75,100,3.51,overcast clouds
317,Volchansk,RU,59.9378,60.081,53.91,89,99,4.79,overcast clouds
318,Mishkino,RU,55.3389,63.9175,55.49,87,70,7.29,broken clouds
